INDEX_ID,TABLE_ID,NAME,TYPE,PAGE_NO,SPACE,N_FIELDS,MERGE_THRESHOLD
11,11,ID_IND,3,302,0,1,50
12,11,FOR_IND,0,303,0,1,50
13,11,REF_IND,0,304,0,1,50
14,12,ID_IND,3,305,0,2,50
15,13,SYS_TABLESPACES_SPACE,3,307,0,1,50
16,14,SYS_DATAFILES_SPACE,3,308,0,1,50
17,15,BASE_IDX,3,310,0,3,50
18,16,PRIMARY,3,3,1,2,50
19,17,PRIMARY,3,3,2,4,50
20,18,PRIMARY,3,3,3,1,50
21,18,commit_id,2,4,3,1,50
22,18,begin_timestamp,0,5,3,1,50
23,18,commit_timestamp,0,6,3,2,50
24,19,PRIMARY,3,3,4,2,50
40,35,GEN_CLUST_INDEX,1,3,20,0,50
41,36,GEN_CLUST_INDEX,1,3,21,0,50
42,37,GEN_CLUST_INDEX,1,3,22,0,50

