PACKED,COMMENT,NULLABLE,SUB_PART,INDEX_NAME,INDEX_TYPE,NON_UNIQUE,TABLE_NAME,COLUMN_NAME,COLLATION,INDEX_SCHEMA,SEQ_IN_INDEX,TABLE_SCHEMA,INDEX_COMMENT,TABLE_CATALOG,CARDINALITY
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,innodb_index_stats,database_name,A,mysql,1,mysql,<blank>,def,4
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,innodb_index_stats,table_name,A,mysql,2,mysql,<blank>,def,13
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,innodb_index_stats,index_name,A,mysql,3,mysql,<blank>,def,13
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,innodb_index_stats,stat_name,A,mysql,4,mysql,<blank>,def,13
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,time_zone_leap_second,Transition_time,A,mysql,1,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,time_zone_name,Name,A,mysql,1,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,proc,db,A,mysql,1,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,proc,name,A,mysql,2,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,proc,type,A,mysql,3,mysql,<blank>,def,2
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,help_keyword,help_keyword_id,A,mysql,1,mysql,<blank>,def,464
NULL,<blank>,<blank>,NULL,name,BTREE,0,help_keyword,name,A,mysql,1,mysql,<blank>,def,464
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,time_zone_transition_type,Time_zone_id,A,mysql,1,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,time_zone_transition_type,Transition_type_id,A,mysql,2,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,help_relation,help_keyword_id,A,mysql,1,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,help_relation,help_topic_id,A,mysql,2,mysql,<blank>,def,1028
NULL,<blank>,<blank>,NULL,Host,BTREE,0,roles_mapping,Host,A,mysql,1,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,Host,BTREE,0,roles_mapping,User,A,mysql,2,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,Host,BTREE,0,roles_mapping,Role,A,mysql,3,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,innodb_table_stats,database_name,A,mysql,1,mysql,<blank>,def,4
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,innodb_table_stats,table_name,A,mysql,2,mysql,<blank>,def,4
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,user,Host,A,mysql,1,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,user,User,A,mysql,2,mysql,<blank>,def,6
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,help_topic,help_topic_id,A,mysql,1,mysql,<blank>,def,508
NULL,<blank>,<blank>,NULL,name,BTREE,0,help_topic,name,A,mysql,1,mysql,<blank>,def,508
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,servers,Server_name,A,mysql,1,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,time_zone_transition,Time_zone_id,A,mysql,1,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,time_zone_transition,Transition_time,A,mysql,2,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,help_category,help_category_id,A,mysql,1,mysql,<blank>,def,39
NULL,<blank>,<blank>,NULL,name,BTREE,0,help_category,name,A,mysql,1,mysql,<blank>,def,39
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,column_stats,db_name,A,mysql,1,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,column_stats,table_name,A,mysql,2,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,column_stats,column_name,A,mysql,3,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,db,Host,A,mysql,1,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,db,Db,A,mysql,2,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,db,User,A,mysql,3,mysql,<blank>,def,2
NULL,<blank>,<blank>,NULL,User,BTREE,1,db,User,A,mysql,1,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,tables_priv,Host,A,mysql,1,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,tables_priv,Db,A,mysql,2,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,tables_priv,User,A,mysql,3,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,tables_priv,Table_name,A,mysql,4,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,Grantor,BTREE,1,tables_priv,Grantor,A,mysql,1,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,procs_priv,Host,A,mysql,1,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,procs_priv,Db,A,mysql,2,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,procs_priv,User,A,mysql,3,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,procs_priv,Routine_name,A,mysql,4,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,procs_priv,Routine_type,A,mysql,5,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,Grantor,BTREE,1,procs_priv,Grantor,A,mysql,1,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,func,name,A,mysql,1,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,index_stats,db_name,A,mysql,1,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,index_stats,table_name,A,mysql,2,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,index_stats,index_name,A,mysql,3,mysql,<blank>,def,NULL
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,index_stats,prefix_arity,A,mysql,4,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,transaction_registry,transaction_id,A,mysql,1,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,commit_id,BTREE,0,transaction_registry,commit_id,A,mysql,1,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,begin_timestamp,BTREE,1,transaction_registry,begin_timestamp,A,mysql,1,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,commit_timestamp,BTREE,1,transaction_registry,commit_timestamp,A,mysql,1,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,commit_timestamp,BTREE,1,transaction_registry,transaction_id,A,mysql,2,mysql,<blank>,def,0
NULL,<blank>,<blank>,NULL,PRIMARY,BTREE,0,proxies_priv,Host,A,mysql,1,mysql,<blank>,def,NULL
