ENGINE,CHECKSUM,DATA_FREE,VERSION,CHECK_TIME,ROW_FORMAT,TABLE_NAME,TABLE_ROWS,TABLE_TYPE,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,TEMPORARY,INDEX_LENGTH,TABLE_SCHEMA,TABLE_CATALOG,TABLE_COMMENT,AUTO_INCREMENT,AVG_ROW_LENGTH,CREATE_OPTIONS,MAX_DATA_LENGTH,TABLE_COLLATION,MAX_INDEX_LENGTH
Aria,NULL,0,11,NULL,Page,ALL_PLUGINS,NULL,SYSTEM VIEW,2020-11-12 00:22:58,8192,2020-11-12 00:22:58,Y,8192,information_schema,def,<blank>,NULL,0,max_rows=9441,4503599627288576,utf8_general_ci,137438945280
MEMORY,NULL,0,11,NULL,Fixed,APPLICABLE_ROLES,NULL,SYSTEM VIEW,2020-11-12 00:22:58,0,NULL,Y,0,information_schema,def,<blank>,NULL,979,max_rows=17137,16691950,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,CHARACTER_SETS,NULL,SYSTEM VIEW,2020-11-12 00:22:58,0,NULL,Y,0,information_schema,def,<blank>,NULL,384,max_rows=43690,16434816,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,CHECK_CONSTRAINTS,NULL,SYSTEM VIEW,2020-11-12 00:22:58,0,NULL,Y,0,information_schema,def,<blank>,NULL,2311,max_rows=7259,16768616,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,COLLATIONS,NULL,SYSTEM VIEW,2020-11-12 00:22:58,0,NULL,Y,0,information_schema,def,<blank>,NULL,231,max_rows=72628,16704765,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,COLLATION_CHARACTER_SET_APPLICABILITY,NULL,SYSTEM VIEW,2020-11-12 00:22:58,0,NULL,Y,0,information_schema,def,<blank>,NULL,195,max_rows=86037,16357770,utf8_general_ci,0
Aria,NULL,0,11,NULL,Page,COLUMNS,NULL,SYSTEM VIEW,2020-11-12 00:22:58,8192,2020-11-12 00:22:58,Y,8192,information_schema,def,<blank>,NULL,0,max_rows=2779,4503599627288576,utf8_general_ci,137438945280
MEMORY,NULL,0,11,NULL,Fixed,COLUMN_PRIVILEGES,NULL,SYSTEM VIEW,2020-11-12 00:22:58,0,NULL,Y,0,information_schema,def,<blank>,NULL,2893,max_rows=5799,16759149,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,ENABLED_ROLES,NULL,SYSTEM VIEW,2020-11-12 00:22:58,0,NULL,Y,0,information_schema,def,<blank>,NULL,387,max_rows=43351,16563213,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,ENGINES,NULL,SYSTEM VIEW,2020-11-12 00:22:58,0,NULL,Y,0,information_schema,def,<blank>,NULL,731,max_rows=22951,16663145,utf8_general_ci,0
Aria,NULL,0,11,NULL,Page,EVENTS,NULL,SYSTEM VIEW,2020-11-12 00:22:58,8192,2020-11-12 00:22:58,Y,8192,information_schema,def,<blank>,NULL,0,max_rows=611,4503599627288576,utf8_general_ci,137438945280
MEMORY,NULL,0,11,NULL,Fixed,FILES,NULL,SYSTEM VIEW,2020-11-12 00:22:59,0,NULL,Y,0,information_schema,def,<blank>,NULL,4022,max_rows=4171,16767718,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,GLOBAL_STATUS,NULL,SYSTEM VIEW,2020-11-12 00:22:59,0,NULL,Y,0,information_schema,def,<blank>,NULL,6340,max_rows=2646,16762960,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,GLOBAL_VARIABLES,NULL,SYSTEM VIEW,2020-11-12 00:22:59,0,NULL,Y,0,information_schema,def,<blank>,NULL,6340,max_rows=2646,16762960,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,KEY_CACHES,NULL,SYSTEM VIEW,2020-11-12 00:22:59,0,NULL,Y,0,information_schema,def,<blank>,NULL,659,max_rows=25458,16650294,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,KEY_COLUMN_USAGE,NULL,SYSTEM VIEW,2020-11-12 00:22:59,0,NULL,Y,0,information_schema,def,<blank>,NULL,4637,max_rows=3618,16762755,utf8_general_ci,0
Aria,NULL,0,11,NULL,Page,PARAMETERS,NULL,SYSTEM VIEW,2020-11-12 00:22:59,8192,2020-11-12 00:22:59,Y,8192,information_schema,def,<blank>,NULL,0,max_rows=6030,4503599627288576,utf8_general_ci,137438945280
Aria,NULL,0,11,NULL,Page,PARTITIONS,NULL,SYSTEM VIEW,2020-11-12 00:22:59,8192,2020-11-12 00:22:59,Y,8192,information_schema,def,<blank>,NULL,0,max_rows=5579,4503599627288576,utf8_general_ci,137438945280
Aria,NULL,0,11,NULL,Page,PLUGINS,NULL,SYSTEM VIEW,2020-11-12 00:22:59,8192,2020-11-12 00:22:59,Y,8192,information_schema,def,<blank>,NULL,0,max_rows=9441,4503599627288576,utf8_general_ci,137438945280
Aria,NULL,0,11,NULL,Page,PROCESSLIST,NULL,SYSTEM VIEW,2020-11-12 00:22:59,8192,2020-11-12 00:22:59,Y,8192,information_schema,def,<blank>,NULL,0,max_rows=15224,4503599627288576,utf8_general_ci,137438945280
MEMORY,NULL,0,11,NULL,Fixed,PROFILING,NULL,SYSTEM VIEW,2020-11-12 00:22:59,0,NULL,Y,0,information_schema,def,<blank>,NULL,308,max_rows=54471,16562084,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,REFERENTIAL_CONSTRAINTS,NULL,SYSTEM VIEW,2020-11-12 00:22:59,0,NULL,Y,0,information_schema,def,<blank>,NULL,4814,max_rows=3485,16767162,utf8_general_ci,0
Aria,NULL,0,11,NULL,Page,ROUTINES,NULL,SYSTEM VIEW,2020-11-12 00:22:59,8192,2020-11-12 00:22:59,Y,8192,information_schema,def,<blank>,NULL,0,max_rows=576,4503599627288576,utf8_general_ci,137438945280
MEMORY,NULL,0,11,NULL,Fixed,SCHEMATA,NULL,SYSTEM VIEW,2020-11-12 00:22:59,0,NULL,Y,0,information_schema,def,<blank>,NULL,3464,max_rows=4843,16738048,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,SCHEMA_PRIVILEGES,NULL,SYSTEM VIEW,2020-11-12 00:22:59,0,NULL,Y,0,information_schema,def,<blank>,NULL,2507,max_rows=6692,16741746,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,SESSION_STATUS,NULL,SYSTEM VIEW,2020-11-12 00:22:59,0,NULL,Y,0,information_schema,def,<blank>,NULL,6340,max_rows=2646,16762960,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,SESSION_VARIABLES,NULL,SYSTEM VIEW,2020-11-12 00:22:59,0,NULL,Y,0,information_schema,def,<blank>,NULL,6340,max_rows=2646,16762960,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,STATISTICS,NULL,SYSTEM VIEW,2020-11-12 00:22:59,0,NULL,Y,0,information_schema,def,<blank>,NULL,5753,max_rows=2916,16752736,utf8_general_ci,0
Aria,NULL,0,11,NULL,Page,SYSTEM_VARIABLES,NULL,SYSTEM VIEW,2020-11-12 00:22:59,8192,2020-11-12 00:22:59,Y,8192,information_schema,def,<blank>,NULL,0,max_rows=651,4503599627288576,utf8_general_ci,137438945280
MEMORY,NULL,0,11,NULL,Fixed,TABLES,NULL,SYSTEM VIEW,2020-11-12 00:22:59,0,NULL,Y,0,information_schema,def,<blank>,NULL,14841,max_rows=1130,16755489,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,TABLESPACES,NULL,SYSTEM VIEW,2020-11-12 00:22:59,0,NULL,Y,0,information_schema,def,<blank>,NULL,6951,max_rows=2413,16772763,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,TABLE_CONSTRAINTS,NULL,SYSTEM VIEW,2020-11-12 00:22:59,0,NULL,Y,0,information_schema,def,<blank>,NULL,2504,max_rows=6700,16721712,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,TABLE_PRIVILEGES,NULL,SYSTEM VIEW,2020-11-12 00:22:59,0,NULL,Y,0,information_schema,def,<blank>,NULL,2700,max_rows=6213,16750800,utf8_general_ci,0
Aria,NULL,0,11,NULL,Page,TRIGGERS,NULL,SYSTEM VIEW,2020-11-12 00:22:59,8192,2020-11-12 00:22:59,Y,8192,information_schema,def,<blank>,NULL,0,max_rows=563,4503599627288576,utf8_general_ci,137438945280
MEMORY,NULL,0,11,NULL,Fixed,USER_PRIVILEGES,NULL,SYSTEM VIEW,2020-11-12 00:22:59,0,NULL,Y,0,information_schema,def,<blank>,NULL,2314,max_rows=7250,16732534,utf8_general_ci,0
Aria,NULL,0,11,NULL,Page,VIEWS,NULL,SYSTEM VIEW,2020-11-12 00:22:59,8192,2020-11-12 00:22:59,Y,8192,information_schema,def,<blank>,NULL,0,max_rows=6019,4503599627288576,utf8_general_ci,137438945280
MEMORY,NULL,0,11,NULL,Fixed,GEOMETRY_COLUMNS,NULL,SYSTEM VIEW,2020-11-12 00:23:00,0,NULL,Y,0,information_schema,def,<blank>,NULL,4244,max_rows=3953,16759556,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,SPATIAL_REF_SYS,NULL,SYSTEM VIEW,2020-11-12 00:23:00,0,NULL,Y,0,information_schema,def,<blank>,NULL,7691,max_rows=2181,16758689,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,CLIENT_STATISTICS,NULL,SYSTEM VIEW,2020-11-12 00:23:00,0,NULL,Y,0,information_schema,def,<blank>,NULL,386,max_rows=43464,16520414,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,INDEX_STATISTICS,NULL,SYSTEM VIEW,2020-11-12 00:23:00,0,NULL,Y,0,information_schema,def,<blank>,NULL,1743,max_rows=9625,16765917,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,INNODB_SYS_DATAFILES,NULL,SYSTEM VIEW,2020-11-12 00:23:00,0,NULL,Y,0,information_schema,def,<blank>,NULL,12007,max_rows=1397,16773779,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,USER_STATISTICS,NULL,SYSTEM VIEW,2020-11-12 00:23:00,0,NULL,Y,0,information_schema,def,<blank>,NULL,567,max_rows=29589,16747479,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,INNODB_SYS_TABLESTATS,NULL,SYSTEM VIEW,2020-11-12 00:23:00,0,NULL,Y,0,information_schema,def,<blank>,NULL,1215,max_rows=13808,16763355,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,INNODB_LOCKS,NULL,SYSTEM VIEW,2020-11-12 00:23:00,0,NULL,Y,0,information_schema,def,<blank>,NULL,31244,max_rows=536,16746784,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,INNODB_MUTEXES,NULL,SYSTEM VIEW,2020-11-12 00:23:00,0,NULL,Y,0,information_schema,def,<blank>,NULL,24017,max_rows=698,16763866,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,INNODB_CMPMEM,NULL,SYSTEM VIEW,2020-11-12 00:23:00,0,NULL,Y,0,information_schema,def,<blank>,NULL,29,max_rows=578524,15204352,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,INNODB_CMP_PER_INDEX,NULL,SYSTEM VIEW,2020-11-12 00:23:00,0,NULL,Y,0,information_schema,def,<blank>,NULL,1755,max_rows=9559,16728660,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,INNODB_CMP,NULL,SYSTEM VIEW,2020-11-12 00:23:00,0,NULL,Y,0,information_schema,def,<blank>,NULL,25,max_rows=671088,13107200,utf8_general_ci,0
MEMORY,NULL,0,11,NULL,Fixed,INNODB_FT_DELETED,NULL,SYSTEM VIEW,2020-11-12 00:23:00,0,NULL,Y,0,information_schema,def,<blank>,NULL,9,max_rows=1864135,9437184,utf8_general_ci,0
