EXTRA,DATA_TYPE,COLUMN_KEY,TABLE_NAME,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,IS_GENERATED,TABLE_SCHEMA,PRIVILEGES,NUMERIC_SCALE,TABLE_CATALOG,COLLATION_NAME,COLUMN_COMMENT,COLUMN_DEFAULT,ORDINAL_POSITION,NUMERIC_PRECISION,CHARACTER_SET_NAME,DATETIME_PRECISION,GENERATION_EXPRESSION,CHARACTER_OCTET_LENGTH,CHARACTER_MAXIMUM_LENGTH
<blank>,varchar,<blank>,ALL_PLUGINS,PLUGIN_NAME,varchar(64),NO,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,'',1,NULL,utf8,NULL,NULL,192,64
<blank>,varchar,<blank>,ALL_PLUGINS,PLUGIN_VERSION,varchar(20),NO,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,'',2,NULL,utf8,NULL,NULL,60,20
<blank>,varchar,<blank>,ALL_PLUGINS,PLUGIN_STATUS,varchar(16),NO,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,'',3,NULL,utf8,NULL,NULL,48,16
<blank>,varchar,<blank>,ALL_PLUGINS,PLUGIN_TYPE,varchar(80),NO,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,'',4,NULL,utf8,NULL,NULL,240,80
<blank>,varchar,<blank>,ALL_PLUGINS,PLUGIN_TYPE_VERSION,varchar(20),NO,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,'',5,NULL,utf8,NULL,NULL,60,20
<blank>,varchar,<blank>,ALL_PLUGINS,PLUGIN_LIBRARY,varchar(64),YES,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,NULL,6,NULL,utf8,NULL,NULL,192,64
<blank>,varchar,<blank>,ALL_PLUGINS,PLUGIN_LIBRARY_VERSION,varchar(20),YES,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,NULL,7,NULL,utf8,NULL,NULL,60,20
<blank>,varchar,<blank>,ALL_PLUGINS,PLUGIN_AUTHOR,varchar(64),YES,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,NULL,8,NULL,utf8,NULL,NULL,192,64
<blank>,longtext,<blank>,ALL_PLUGINS,PLUGIN_DESCRIPTION,longtext,YES,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,NULL,9,NULL,utf8,NULL,NULL,4294967295,4294967295
<blank>,varchar,<blank>,ALL_PLUGINS,PLUGIN_LICENSE,varchar(80),NO,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,'',10,NULL,utf8,NULL,NULL,240,80
<blank>,varchar,<blank>,ALL_PLUGINS,LOAD_OPTION,varchar(64),NO,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,'',11,NULL,utf8,NULL,NULL,192,64
<blank>,varchar,<blank>,ALL_PLUGINS,PLUGIN_MATURITY,varchar(12),NO,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,'',12,NULL,utf8,NULL,NULL,36,12
<blank>,varchar,<blank>,ALL_PLUGINS,PLUGIN_AUTH_VERSION,varchar(80),YES,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,NULL,13,NULL,utf8,NULL,NULL,240,80
<blank>,varchar,<blank>,APPLICABLE_ROLES,GRANTEE,varchar(190),NO,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,'',1,NULL,utf8,NULL,NULL,570,190
<blank>,varchar,<blank>,APPLICABLE_ROLES,ROLE_NAME,varchar(128),NO,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,'',2,NULL,utf8,NULL,NULL,384,128
<blank>,varchar,<blank>,APPLICABLE_ROLES,IS_GRANTABLE,varchar(3),NO,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,'',3,NULL,utf8,NULL,NULL,9,3
<blank>,varchar,<blank>,APPLICABLE_ROLES,IS_DEFAULT,varchar(3),YES,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,NULL,4,NULL,utf8,NULL,NULL,9,3
<blank>,varchar,<blank>,CHARACTER_SETS,CHARACTER_SET_NAME,varchar(32),NO,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,'',1,NULL,utf8,NULL,NULL,96,32
<blank>,varchar,<blank>,CHARACTER_SETS,DEFAULT_COLLATE_NAME,varchar(32),NO,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,'',2,NULL,utf8,NULL,NULL,96,32
<blank>,varchar,<blank>,CHARACTER_SETS,DESCRIPTION,varchar(60),NO,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,'',3,NULL,utf8,NULL,NULL,180,60
<blank>,bigint,<blank>,CHARACTER_SETS,MAXLEN,bigint(3),NO,NEVER,information_schema,select,0,def,NULL,<blank>,0,4,19,NULL,NULL,NULL,NULL,NULL
<blank>,varchar,<blank>,CHECK_CONSTRAINTS,CONSTRAINT_CATALOG,varchar(512),NO,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,'',1,NULL,utf8,NULL,NULL,1536,512
<blank>,varchar,<blank>,CHECK_CONSTRAINTS,CONSTRAINT_SCHEMA,varchar(64),NO,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,'',2,NULL,utf8,NULL,NULL,192,64
<blank>,varchar,<blank>,CHECK_CONSTRAINTS,TABLE_NAME,varchar(64),NO,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,'',3,NULL,utf8,NULL,NULL,192,64
<blank>,varchar,<blank>,CHECK_CONSTRAINTS,CONSTRAINT_NAME,varchar(64),NO,NEVER,information_schema,select,NULL,def,utf8_general_ci,<blank>,'',4,NULL,utf8,NULL,NULL,192,64
