TABLE_ID,LEN,POS,NAME,MTYPE,PRTYPE
11,0,0,ID,1,2949124
11,0,1,FOR_NAME,1,2949124
11,0,2,REF_NAME,1,2949124
11,4,3,N_COLS,6,0
12,0,0,ID,1,2949124
12,4,1,POS,6,0
12,0,2,FOR_COL_NAME,1,2949124
12,0,3,REF_COL_NAME,1,2949124
13,4,0,SPACE,6,0
13,0,1,NAME,1,2949124
13,4,2,FLAGS,6,0
14,4,0,SPACE,6,0
14,0,1,PATH,1,2949124
15,8,0,TABLE_ID,6,0
15,4,1,POS,6,0
15,4,2,BASE_POS,6,0
16,192,0,database_name,12,5439759
16,597,1,table_name,12,5443855
16,4,2,last_update,3,526087
16,8,3,n_rows,6,1800
16,8,4,clustered_index_size,6,1800
16,8,5,sum_of_other_index_sizes,6,1800
17,192,0,database_name,12,5439759
17,597,1,table_name,12,5443855
17,192,2,index_name,12,5439759
17,4,3,last_update,3,526087
17,192,4,stat_name,12,5439759
17,8,5,stat_value,6,1800
17,8,6,sample_size,6,1544
17,3072,7,stat_description,12,5443855
18,8,0,transaction_id,6,1800
18,8,1,commit_id,6,1800
18,7,2,begin_timestamp,3,526087
18,7,3,commit_timestamp,3,526087
18,1,4,isolation_level,6,1022
19,4,0,domain_id,6,1795
19,8,1,sub_id,6,1800
19,4,2,server_id,6,1795
19,8,3,seq_no,6,1800
35,4,0,id,6,1027
35,256,1,username,12,2953231
35,80,2,password,12,2949135
35,128,3,session,12,2949135
35,256,4,name,12,2953231
35,4,5,blog,6,1027
35,4,6,admin,6,1027
36,4,0,id,6,1027
36,4,1,type,6,1027
36,256,2,name,12,2953231
36,4,3,price,6,1027
36,1024,4,detail,12,2953231
37,4,0,author,6,1027
37,256,1,title,12,2953231
37,40000,2,content,12,2953231

